departamento,año,participacion
Montevideo,2008,49.77896456
Artigas,2008,1.478196373
Canelones,2008,9.335324048
Cerro Largo,2008,1.92648238
Colonia,2008,4.985353233
Durazno,2008,1.319184588
Flores,2008,0.781864368
Florida,2008,2.000677782
Lavalleja,2008,1.694865716
Maldonado,2008,5.152485354
Paysandú,2008,2.799268787
Río Negro,2008,3.152205248
Rivera,2008,2.124328847
Rocha,2008,1.814377708
Salto,2008,2.836962179
San José,2008,2.974653077
Soriano,2008,2.283527284
Tacuarembó,2008,2.121918053
Treinta y Tres,2008,1.439360418
Montevideo,2014,50.49152213
Artigas,2014,1.477165024
Canelones,2014,10.13629929
Cerro Largo,2014,1.836542165
Colonia,2014,4.743225526
Durazno,2014,1.461369925
Flores,2014,0.735745903
Florida,2014,1.995063504
Lavalleja,2014,1.623197088
Maldonado,2014,5.485009914
Paysandú,2014,2.604989809
Río Negro,2014,2.171295857
Rivera,2014,2.171438096
Rocha,2014,1.891450839
Salto,2014,2.66137227
San José,2014,3.077349138
Soriano,2014,2.236554871
Tacuarembó,2014,1.950514598
Treinta y Tres,2014,1.249894048
Montevideo,2011,50.28822159
Artigas,2011,1.534504826
Canelones,2011,9.316772193
Cerro Largo,2011,1.840424689
Colonia,2011,4.726988553
Durazno,2011,1.405932523
Flores,2011,0.786320052
Florida,2011,1.917976195
Lavalleja,2011,1.683386359
Maldonado,2011,5.539078606
Paysandú,2011,2.896134982
Río Negro,2011,2.622937614
Rivera,2011,2.181958545
Rocha,2011,1.894288251
Salto,2011,2.757284529
San José,2011,2.907195203
Soriano,2011,2.482158801
Tacuarembó,2011,1.953200439
Treinta y Tres,2011,1.265236054
Montevideo,2012,50.75571935
Artigas,2012,1.473665801
Canelones,2012,9.552879367
Cerro Largo,2012,1.850086602
Colonia,2012,4.745086886
Durazno,2012,1.393261621
Flores,2012,0.764715267
Florida,2012,1.911648921
Lavalleja,2012,1.594681141
Maldonado,2012,5.632621771
Paysandú,2012,2.867387294
Río Negro,2012,2.337201378
Rivera,2012,2.115926036
Rocha,2012,1.857350729
Salto,2012,2.732431538
San José,2012,2.923177428
Soriano,2012,2.387848603
Tacuarembó,2012,1.880092614
Treinta y Tres,2012,1.224217651
Montevideo,2009,51.07211947
Artigas,2009,1.403030308
Canelones,2009,9.305540555
Cerro Largo,2009,1.809929641
Colonia,2009,5.184263546
Durazno,2009,1.317905327
Flores,2009,0.769636685
Florida,2009,1.89548588
Lavalleja,2009,1.608030538
Maldonado,2009,5.382193567
Paysandú,2009,2.877442319
Río Negro,2009,2.338190852
Rivera,2009,2.021081495
Rocha,2009,1.81096668
Salto,2009,2.79918771
San José,2009,2.827258232
Soriano,2009,2.381300523
Tacuarembó,2009,1.923658657
Treinta y Tres,2009,1.272778015
Montevideo,2010,50.99552464
Artigas,2010,1.426561745
Canelones,2010,9.352647868
Cerro Largo,2010,1.795809514
Colonia,2010,4.651308575
Durazno,2010,1.34522587
Flores,2010,0.723656092
Florida,2010,1.827077358
Lavalleja,2010,1.635245994
Maldonado,2010,5.530439047
Paysandú,2010,2.710792328
Río Negro,2010,2.85361724
Rivera,2010,2.188550954
Rocha,2010,1.796003308
Salto,2010,2.754221924
San José,2010,2.950875201
Soriano,2010,2.239210647
Tacuarembó,2010,1.972242768
Treinta y Tres,2010,1.250988925
Montevideo,2013,50.10065481
Artigas,2013,1.469972383
Canelones,2013,9.986006229
Cerro Largo,2013,1.814433931
Colonia,2013,4.800256207
Durazno,2013,1.381522785
Flores,2013,0.782673147
Florida,2013,1.889221413
Lavalleja,2013,1.629057305
Maldonado,2013,5.556513623
Paysandú,2013,2.73000415
Río Negro,2013,2.338707107
Rivera,2013,2.162466554
Rocha,2013,1.927750244
Salto,2013,2.686971212
San José,2013,3.086595289
Soriano,2013,2.466955878
Tacuarembó,2013,1.883984449
Treinta y Tres,2013,1.30625328
