Departamento,1996,2011,2023,Tasa 1996-2011,Tasa 2011-2023
Montevideo,1382538,1375540,1302954,-0.00034,-0.00441
Artigas,77246,76043,77487,-0.00106,0.0016
Canelones,458602,536761,608956,0.01603,0.01001
Cerro Largo,84958,89223,91025,0.00385,0.00141
Colonia,123583,127358,135797,0.00204,0.00506
Durazno,57378,59018,62011,0.00184,0.00333
Flores,25685,26509,26271,0.00202,-0.00072
Florida,68387,69265,70325,0.0009,0.00106
Lavalleja,62676,60205,59175,-0.00169,-0.001
Maldonado,132265,172130,212951,0.01803,0.01808
Paysandú,114724,117023,121843,0.00131,0.00326
Río Negro,53275,56013,57334,0.00323,0.00153
Rivera,101567,106522,109300,0.00305,0.0021
Rocha,72184,73520,80707,0.00124,0.00894
Salto,121222,128803,136197,0.00386,0.00447
San José,99722,110323,119714,0.00671,0.00655
Soriano,83878,84535,83685,0.00052,-0.00084
Tacuarembó,87519,93236,96013,0.00416,0.00216
Treinta y Tres,50795,50611,47706,-0.00023,-0.0051
